CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,CustomerSegment
14646,2,73,280206.02,4,4,4,444,Champion
18102,1,60,259657.30,4,4,4,444,Champion
17450,9,46,194390.79,4,4,4,444,Champion
16446,1,2,168472.50,4,2,4,424,New Customer
14911,2,201,143711.17,4,4,4,444,Champion
12415,25,21,124914.53,3,4,4,344,Loyal Customer
14156,10,55,117210.08,4,4,4,444,Champion
17511,3,31,91062.38,4,4,4,444,Champion
16029,39,63,80850.84,3,4,4,344,Loyal Customer
12346,326,1,77183.60,1,1,4,114,Lost Customer
16684,5,28,66653.56,4,4,4,444,Champion
14096,5,17,65164.79,4,4,4,444,Champion
13694,4,50,65039.62,4,4,4,444,Champion
15311,1,91,60632.75,4,4,4,444,Champion
13089,3,97,58762.08,4,4,4,444,Champion
17949,2,45,58510.48,4,4,4,444,Champion
15769,8,26,56252.72,4,4,4,444,Champion
15061,4,48,54534.14,4,4,4,444,Champion
14298,9,44,51527.30,4,4,4,444,Champion
14088,11,13,50491.81,4,4,4,444,Champion
15749,236,3,44534.30,1,3,4,134,At Risk
12931,22,15,42055.96,3,4,4,344,Loyal Customer
17841,2,124,40519.84,4,4,4,444,Champion
15098,183,3,39916.50,1,3,4,134,At Risk
13798,2,57,37153.85,4,4,4,444,Champion
16013,4,47,37130.60,4,4,4,444,Champion
16422,18,51,34684.40,4,4,4,444,Champion
15838,12,19,33643.08,4,4,4,444,Champion
12748,1,209,33053.19,4,4,4,444,Champion
17404,5,15,31906.82,4,4,4,444,Champion
17389,1,34,31833.68,4,4,4,444,Champion
13098,2,28,28882.44,4,4,4,444,Champion
14680,26,16,28754.11,3,4,4,344,Loyal Customer
13081,12,11,28337.38,4,4,4,444,Champion
13408,2,62,28117.04,4,4,4,444,Champion
17857,5,23,26879.04,4,4,4,444,Champion
16333,8,22,26626.80,4,4,4,444,Champion
13777,1,33,25977.16,4,4,4,444,Champion
12753,23,6,21429.39,3,4,4,344,Loyal Customer
12744,52,7,21279.29,2,4,4,244,At Risk
16210,2,18,21086.30,4,4,4,444,Champion
17675,2,31,20374.28,4,4,4,444,Champion
17381,9,29,20275.61,4,4,4,444,Champion
12471,3,30,19788.65,4,4,4,444,Champion
15039,10,47,19766.59,4,4,4,444,Champion
12731,24,12,18895.91,3,4,4,344,Loyal Customer
15159,2,30,18641.01,4,4,4,444,Champion
12901,9,28,17654.54,4,4,4,444,Champion
12678,43,12,17628.46,3,4,4,344,Loyal Customer
14031,8,19,17286.86,4,4,4,444,Champion
17428,1,28,17256.85,4,4,4,444,Champion
13767,3,37,17220.36,4,4,4,444,Champion
13881,4,20,17159.52,4,4,4,444,Champion
16839,9,34,16594.35,4,4,4,444,Champion
12921,10,37,16587.09,4,4,4,444,Champion
17677,2,30,16345.38,4,4,4,444,Champion
15189,2,41,16225.39,4,4,4,444,Champion
14607,16,14,16209.50,4,4,4,444,Champion
15856,5,27,16143.64,4,4,4,444,Champion
14051,1,23,15610.39,4,4,4,444,Champion
15513,34,19,14758.22,3,4,4,344,Loyal Customer
16133,4,33,14589.04,4,4,4,444,Champion
14866,11,12,14389.90,4,4,4,444,Champion
16705,1,20,14034.99,4,4,4,444,Champion
12681,15,22,13787.54,4,4,4,444,Champion
12621,2,20,13689.67,4,4,4,444,Champion
12540,20,17,13400.24,3,4,4,344,Loyal Customer
12433,1,7,13375.87,4,4,4,444,Champion
15498,3,27,13316.40,4,4,4,444,Champion
12477,23,6,13219.74,3,4,4,344,Loyal Customer
17735,3,19,13110.02,4,4,4,444,Champion
16525,3,26,13027.45,4,4,4,444,Champion
14258,10,9,12669.98,4,4,4,444,Champion
13078,4,26,12627.94,4,4,4,444,Champion
12536,44,3,12601.83,3,3,4,334,Loyal Customer
15640,5,15,12416.11,4,4,4,444,Champion
16000,3,3,12393.70,4,3,4,434,Loyal Customer
17340,30,11,12353.29,3,4,4,344,Loyal Customer
12682,4,31,12279.82,4,4,4,444,Champion
13113,1,24,12245.96,4,4,4,444,Champion
14606,2,93,12076.15,4,4,4,444,Champion
12557,17,5,11990.96,4,4,4,444,Champion
12939,65,8,11581.80,2,4,4,244,At Risk
15125,26,15,11528.48,3,4,4,344,Loyal Customer
14194,5,21,11349.52,4,4,4,444,Champion
12971,4,86,11189.91,4,4,4,444,Champion
14895,8,20,11138.71,4,4,4,444,Champion
12409,79,3,11072.67,2,3,4,234,At Risk
17581,1,25,11025.24,4,4,4,444,Champion
15482,16,12,10879.76,4,4,4,444,Champion
13319,6,26,10845.55,4,4,4,444,Champion
17107,34,6,10797.48,3,4,4,344,Loyal Customer
13340,46,7,10736.48,3,4,4,344,Loyal Customer
17139,16,12,10650.77,4,4,4,444,Champion
16779,3,22,10611.72,4,4,4,444,Champion
17865,31,20,10526.32,3,4,4,344,Loyal Customer
17706,5,17,10504.49,4,4,4,444,Champion
15251,10,11,10484.99,4,4,4,444,Champion
14062,10,12,10464.85,4,4,4,444,Champion
14769,3,8,10416.98,4,4,4,444,Champion
15615,11,23,10399.74,4,4,4,444,Champion
15502,16,12,10384.93,4,4,4,444,Champion
16180,101,8,10254.18,2,4,4,244,At Risk
16843,43,16,10196.57,3,4,4,344,Loyal Customer
12590,212,2,9864.26,1,3,4,134,At Risk
13199,4,38,9817.12,4,4,4,444,Champion
13001,5,13,9785.97,4,4,4,444,Champion
15078,8,32,9743.11,4,4,4,444,Champion
12709,16,15,9706.52,4,4,4,444,Champion
13458,8,14,9646.57,4,4,4,444,Champion
14733,17,12,9585.91,4,4,4,444,Champion
16523,2,21,9418.47,4,4,4,444,Champion
12567,23,10,9401.28,3,4,4,344,Loyal Customer
14367,9,16,9227.82,4,4,4,444,Champion
14667,11,25,9175.04,4,4,4,444,Champion
18092,3,11,9068.26,4,4,4,444,Champion
12451,11,5,9035.52,4,4,4,444,Champion
13969,8,18,9024.17,4,4,4,444,Champion
13488,18,13,8968.31,3,4,4,344,Loyal Customer
13090,9,14,8910.82,4,4,4,444,Champion
16033,6,20,8778.82,4,4,4,444,Champion
17017,3,20,8694.26,4,4,4,444,Champion
17306,11,19,8631.31,4,4,4,444,Champion
16656,23,15,8625.80,3,4,4,344,Loyal Customer
17243,2,26,8540.05,4,4,4,444,Champion
14527,3,55,8507.13,4,4,4,444,Champion
12683,5,15,8476.57,4,4,4,444,Champion
18139,18,6,8438.34,4,4,4,444,Champion
15358,5,22,8347.20,4,4,4,444,Champion
16558,1,20,8338.49,4,4,4,444,Champion
14056,2,23,8152.71,4,4,4,444,Champion
14936,34,8,8137.02,3,4,4,344,Loyal Customer
16672,3,20,8134.94,4,4,4,444,Champion
13854,9,25,8109.52,4,4,4,444,Champion
14952,60,11,8099.49,2,4,4,244,At Risk
18109,2,26,8004.92,4,4,4,444,Champion
14796,2,17,7975.49,4,4,4,444,Champion
12428,26,9,7956.46,3,4,4,344,Loyal Customer
15290,5,18,7943.22,4,4,4,444,Champion
14849,22,25,7930.54,3,4,4,344,Loyal Customer
12757,16,13,7834.65,4,4,4,444,Champion
13093,276,8,7832.47,1,4,4,144,At Risk
12435,80,2,7829.89,2,2,4,224,Potential Loyalist
13629,24,11,7792.36,3,4,4,344,Loyal Customer
17811,5,39,7761.82,4,4,4,444,Champion
15044,20,17,7634.73,3,4,4,344,Loyal Customer
15194,4,15,7616.53,4,4,4,444,Champion
18172,15,20,7561.68,4,4,4,444,Champion
13263,2,35,7436.93,4,4,4,444,Champion
12980,158,9,7374.90,1,4,4,144,At Risk
15465,20,18,7354.62,3,4,4,344,Loyal Customer
17396,40,8,7330.80,3,4,4,344,Loyal Customer
12474,18,18,7324.09,3,4,4,344,Loyal Customer
12583,3,15,7281.38,4,4,4,444,Champion
13018,17,28,7277.70,4,4,4,444,Champion
18229,12,20,7276.90,4,4,4,444,Champion
16729,39,21,7205.33,3,4,4,344,Loyal Customer
16745,87,17,7180.70,2,4,4,244,At Risk
16873,5,6,7123.62,4,4,4,444,Champion
13324,37,10,7121.95,3,4,4,344,Loyal Customer
16923,13,19,7069.08,4,4,4,444,Champion
13985,5,15,7060.13,4,4,4,444,Champion
14961,11,9,7044.68,4,4,4,444,Champion
12766,4,7,6989.63,4,4,4,444,Champion
12798,11,3,6977.04,4,3,4,434,Loyal Customer
12989,4,15,6924.11,4,4,4,444,Champion
13027,114,6,6912.00,2,4,4,244,At Risk
16187,32,15,6911.44,3,4,4,344,Loyal Customer
16713,19,15,6910.78,3,4,4,344,Loyal Customer
17416,30,7,6893.42,3,4,4,344,Loyal Customer
12705,16,9,6868.29,4,4,4,444,Champion
12476,16,11,6816.42,4,4,4,444,Champion
12830,38,6,6814.64,3,4,4,344,Loyal Customer
15601,12,14,6776.56,4,4,4,444,Champion
16652,59,7,6773.97,2,4,4,244,At Risk
18055,8,10,6761.34,4,4,4,444,Champion
16532,18,3,6748.80,4,3,4,434,Loyal Customer
15023,4,11,6720.41,4,4,4,444,Champion
13576,11,18,6717.34,4,4,4,444,Champion
15249,32,13,6688.46,3,4,4,344,Loyal Customer
16746,5,18,6680.11,4,4,4,444,Champion
16353,4,23,6675.71,4,4,4,444,Champion
12626,24,9,6620.48,3,4,4,344,Loyal Customer
16182,73,4,6617.65,2,3,4,234,At Risk
15144,9,17,6580.44,4,4,4,444,Champion
12472,33,7,6572.11,3,4,4,344,Loyal Customer
17338,18,8,6493.54,4,4,4,444,Champion
18223,5,14,6484.54,4,4,4,444,Champion
15694,1,14,6479.40,4,4,4,444,Champion
13225,4,7,6463.84,4,4,4,444,Champion
13102,2,24,6424.09,4,4,4,444,Champion
12431,36,15,6419.95,3,4,4,344,Loyal Customer
16814,15,21,6416.70,4,4,4,444,Champion
13871,23,13,6403.25,3,4,4,344,Loyal Customer
12359,58,4,6310.03,2,3,4,234,At Risk
13668,3,21,6309.83,4,4,4,444,Champion
